,Unnamed: 0,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
439,39,Dark Chocolate Peanut Butter Bark,Dessert,1.0,3.0,12.0,17.0,144.0,17.0,19.0,8.0,0.5,10.0,5.0,15 mins,4.82
440,40,Apple Cranberry Crumble,dessert,3.0,2.0,5.5,44.5,211.0,,186.6,3.0,35.5,15.0,,1 hr 15 mins,4.97
441,41,Pumpkin Pistachio Energy Balls,dinner,1.0,3.0,5.0,24.0,138.0,,37.0,3.0,19.0,15.0,0.0,15 mins,4.77
442,42,Pumpkin Pie Dip,appetizer,1.0,2.0,4.0,21.0,105.0,1.0,10.0,1.0,17.0,15.0,0.0,15 mins,4.93
443,43,Skinny Pumpkin Snickerdoodles,Dessert,1.0,1.0,1.0,9.5,51.0,7.5,20.0,1.0,6.0,25.0,5.0,30 mins,4.44
444,44,Raspberry Yogurt Ice Pops,dessert,1.0,2.5,2.5,11.0,71.0,7.5,29.0,2.0,8.5,15.0,0.0,6 hrs 15 mins,4.67
445,45,Chocolate Zucchini Bread,breakfast,1.0,4.0,8.0,28.0,190.5,,147.0,2.5,14.5,20.0,55.0,1 hr 15 mins,4.64
446,46,Easy Blueberry Buttermilk Cake,dessert,1.0,3.1,2.9,33.0,168.0,17.5,191.8,1.2,17.1,20.0,30.0,50 mins,4.78
447,47,Flourless Chocolate Zucchini Brownies,Dessert,1.0,4.5,9.0,25.0,179.0,,139.0,2.5,20.0,15.0,30.0,1 hr 15 mins,4.79
448,48,Superfood Triple Berry Chia Pudding,breakfast,1.0,4.0,5.0,12.0,110.0,,64.0,7.5,3.0,20.0,0.0,5 hrs 20 mins,3.5
449,49,Skinny Hummingbird Cupcakes,dessert,1.0,3.0,6.5,31.0,198.0,16.5,284.0,1.5,22.0,20.0,23.0,45 mins,4.8
450,50,Skillet Mixed Berry Buttermilk Cobbler,dessert,1.0,2.0,4.0,28.0,151.0,5.5,100.5,4.5,16.5,10.0,10.0,1 hr 20 mins,4.8
451,51,Chocolate Pistachio Biscotti,Breakfast,1.0,2.5,4.5,15.0,103.0,20.5,43.5,1.0,6.5,15.0,25.0,45 mins,4.72
452,52,Chocolate Chip Clouds,Dessert,1.0,0.5,2.5,8.5,54.0,,9.5,1.0,7.0,15.0,40.0,55 mins,4.7
453,53,Strawberry Squares,dessert,1.0,2.0,4.5,22.0,138.0,45.0,39.0,,13.5,15.0,30.0,45 mins,4.91
454,54,Yogurt Panna Cotta with Macerated Berries,dessert,1.0,5.0,0.5,15.0,82.0,3.0,31.0,0.5,13.5,10.0,15.0,6 hrs 25 mins,5.0
