,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
124,Pumpkin Hazelnut White Chocolate Biscotti,Dessert,1,2,4,15.5,101.5,15.5,40,0.5,8,20,25,45 mins,5
125,Pumpkin Cheesecake Shooters,dessert,1,1,4,11.5,78,5,16.5,,7.5,30,0,30 mins,5
126,Spooky Spider Halloween Cupcakes,Dessert,1,1.5,3.5,26,139.5,,291,2,17,10,20,50 mins,
127,Oatmeal Raisin Walnut Cookies,Dessert,2,3,4.5,31.5,172,16.5,119,2,16.5,20,20,40 mins,3
128,Raspberry Blueberry Gazpacho with Fresh Mint,dessert,1,3,0.3,32,139,,37,5.4,22.8,10,,4 hrs,5
129,Guiltless Banana Split in a Jar,Dessert,1,3.5,1.3,36,169,5,62,1.8,27.5,5,,5 mins,
130,Cherry Custard,dessert,1,5.5,2.6,27.8,156,93.5,204,1.3,8.8,15,,45 mins,5
131,Cherry Lime Ice Pops,Dessert,1,1.3,0.2,31,122,,0.2,2.4,27,10,5,2 hrs 15 mins,4.75
132,"Frozen Mango, Kiwi, Raspberry Fruit Pops",Dessert,1,1,0.5,22,91.5,,1.8,4,11,15,5,20 mins,5
133,Frozen Banana Pop,Dessert,1,0.3,4.9,15,99,,0.3,1.7,10,20,0,2 hrs 20 mins,
134,Skinny Chocolate Chip Fro-Yo Sandwiches,Dessert,1,3,3,38,168.5,,88.5,1,27.5,15,,1 hr,
135,Very Berry Banana Fro Yo Shake,dessert,1,5.6,2.1,48,211.7,,90.6,5.7,26.3,5,,5 mins,
136,Coconut Cupcakes,Dessert,1,2.5,6.5,31,196,1.3,150,1,11.5,30,25,1 hr 30 mins,5
137,Rainbow Fruit Skewers with Yogurt Fruit Dip,dessert,1,5.2,,12,65.4,,23.3,,11.9,10,,10 mins,
138,Chocolate Stout Cupcakes with Bailey’s Irish Cream Cheese Frosting,Dessert,1,3.5,6.5,31,189,,214.5,1.5,19.5,20,30,50 mins,4.93
139,Homemade Skinny Chocolate Cake,dessert,2,3,3,33,163,9.5,335,1.5,19.5,20,40,1 hr,5
